Diagnosed Diabetes Est. Percent,Unemployment Rate,Household Median Income,Perc_Adults_LessThanHS,Perc_Adults_HSOnly,Perc_Adults_AssociateSomeCollege,Perc_Adults_BAorHigher,Obesity_Prev_Percent,Leisure_Time_Physical_Inactivity_Perc,Median_Age
10.5,5.8,54509,12.196,27.191,29.179,31.433,27.3,22.6,36.4
14.6,7,41110,21.74,37.642,28.282,12.336,31.4,34.7,42.1
12.2,7.9,49813,12.432,30.15,30.251,27.167,24.9,25.4,50.2
13.1,6.7,37358,21.615,35.482,29.213,13.69,34.6,34,41.1
11.5,6.6,43453,20.163,32.611,28.212,19.015,32.4,27.3,44.9
12.5,5.1,40653,25.229,37.337,23.824,13.611,35.2,32.7,35.6
13.7,6.4,50125,12.22,33.5,32.611,21.669,28.1,25.7,46.2
9.9,6,52989,12.991,30.748,29.544,26.717,24.5,23.3,46.4
8.5,5.5,51041,7.403,18.577,28.776,45.243,27.3,18,29.9
14.6,6.8,33092,18.097,41.3,29.441,11.163,33,30.6,46.1
13.1,6.6,38900,20.877,46.494,20.167,12.462,39.6,30.2,37.1
15.8,7.1,33721,17.294,38.563,31.801,12.342,33.5,32.3,41.4
10.4,5.7,51770,11.522,30.929,29.676,27.874,26.5,22.4,46.3
13.5,7.3,39629,13.586,37.181,30.85,18.383,30.1,28.2,47.8
10.8,6.1,55917,9.985,26.091,32.388,31.536,20,21.5,50.5
7.9,6.8,45886,19.376,28.36,24.983,27.282,21.2,23,38.8
8.5,4.1,63892,8.99,28.793,31.146,31.071,22.8,21.7,46.7
11.5,6,67967,9.074,34.874,31.525,24.527,28.9,23.9,43.8
9.7,5.1,58009,8.713,25.531,36.316,29.441,25.5,23,37.1
11,7.4,37689,28.147,37.941,23.187,10.724,29.2,30.9,39.6
9,5.8,51312,12.319,25.738,30.02,31.923,24,23.1,34.2
11.8,6.7,50716,14.293,33.638,33.393,18.677,28.6,25.9,35.7
10.3,5.9,57607,12.055,25.113,28.644,34.189,22.2,20.9,43.9
12.6,6.7,46326,11.738,33.236,32.542,22.484,32.1,26.4,44.2
11,5.8,49974,9.603,29.057,31.829,29.511,25.6,23.4,46.9
15,7.2,46289,16.009,35.911,28.62,19.461,34.4,28,40.3
12.5,8.7,37526,21.59,38.225,27.506,12.679,37.9,29.8,43.9
9.1,4.7,78544,5.339,21.246,30.94,42.475,22.4,18.4,42.6
11.7,8,45509,14.188,33.191,32.789,19.832,27.1,27.6,43.3
9.7,5.5,62668,9.831,27.35,35.931,26.888,26,24.6,39.4
10.1,5.8,55088,7.44,29.847,29.656,33.058,20.7,20.2,53.5
9.8,5.7,61253,6.618,23.389,34.147,35.846,25.6,20.2,38.9
14.7,8.3,56568,9.471,30.352,30.361,29.817,26.9,19.2,64.5
13.5,6.3,40572,20.864,40.042,27.056,12.038,32.9,29,41.4
15.5,6.9,40180,21.293,41.054,27.825,9.828,37.3,35.1,41.2
12.8,6,43795,25.639,39.636,27.124,7.601,37.9,32.2,40
12.7,6.8,45356,10.708,33.463,33.413,22.416,25.7,25,46
11.7,5.2,56158,12.316,37.364,33.68,16.641,35.7,28.5,39.8
11.5,5.3,54686,15.084,26.463,32.144,26.309,28.1,25,43.3
12.3,6.7,34787,20.179,41.795,27.042,10.984,37.4,34,40.6
12.3,8.8,37954,23.625,40.767,23.69,11.918,35.1,25.9,38.3
11.8,7.6,33318,32.105,40.05,21.167,6.678,33.9,26.5,35.1
10.9,7,36873,19.885,41.001,25.916,13.197,31.5,28.7,36.3
15,9.1,35452,21.246,41.531,26.223,11,30.4,27.2,44.3
13.3,8.7,40683,18.346,37.026,26.206,18.422,36.9,23.4,34.2
12,6.6,43370,24.551,42.946,21.517,10.986,29.9,24.7,39.5
12.5,6.3,54893,17.961,33.692,31.562,16.785,34.6,31.3,34.4
13.2,7.2,52497,18.403,34.411,28.672,18.515,34.2,27.7,37.2
12.4,10,32644,18.833,43.123,27.491,10.553,35.2,27,38.6
13.9,8.5,39174,19.689,38.8,29.244,12.267,32.8,31.1,38.6
13.3,8,38115,15.711,32.235,27.464,24.59,34.7,27.9,35.5
12.8,11.2,41447,14.827,42.328,25.12,17.725,33.6,30.9,37.3
11.4,9.3,37675,19.816,45.594,25.08,9.51,32.5,29.3,38.7
13.9,7.2,33676,21.019,38.462,28.082,12.437,32.5,29.3,41.3
12.3,6.4,77244,9.571,25.774,31.318,33.336,29.8,30.3,35.3
12.5,7.3,42083,13.378,27.568,30.805,28.248,33.4,25.9,26.1
14.5,10,37410,22.685,38.195,28.716,10.404,33,28.3,36.1
12.1,7.5,46141,22.808,44.523,22.464,10.205,30.2,26.7,38.5
16,7,33478,24.016,40.181,25.51,10.293,33.1,27.1,38.4
12.2,6.6,53130,8.971,32.464,35.945,22.619,33.3,25.7,31.6
14.2,6.9,32970,24.744,35.908,25.117,14.23,32.9,30.3,37.9
10.9,8.2,50598,18.888,35.162,27.765,18.185,32.9,29.9,33.9
12,6.1,53740,14.39,31.801,34.159,19.65,30.7,27.2,39.1
11.8,7.4,38948,19.138,46.322,25.551,8.988,32.8,27.4,38.7
11.3,7.3,52746,10.708,24.953,31.444,32.895,32.7,23.5,34.2
6.2,9.7,44097,9.843,26.68,33.36,30.118,28.2,21.8,23.3
11,7.6,37345,27.504,39.184,24.453,8.859,34.9,29.9,40.4
8,5.5,78668,10.239,24.052,30.212,35.497,27.5,21.4,37
8.1,6.9,36692,13.787,21.406,24.054,40.753,25.6,22,26.4
16.9,11.4,27648,17.658,45.969,28.935,7.438,30.7,29.6,38.4
12.1,9.3,44598,16.439,31.784,32.748,19.029,36.4,27,32.3
12.7,8.4,34777,23.564,38.648,23.406,14.383,30.6,26.2,36.5
8.4,5.9,70950,8.811,19.025,27.178,44.986,25.1,18.9,35.9
12.3,8.1,38704,21.253,39.549,26.114,13.084,34.7,30.3,35
12.8,8.1,34931,27.457,37.045,22.574,12.924,34.9,33.1,35.2
10.6,5.8,74908,8.148,24.475,32.277,35.1,31.2,20.8,36.5
13.5,8.1,35518,23.619,39.023,23.52,13.838,32.2,28.2,36.7
11.2,6.2,71114,11.394,31.176,29.346,28.085,27.1,22.5,37.3
14.1,7.5,44014,19.454,37.556,29.875,13.115,28.5,32.1,42.7
15.1,8.8,34211,20.346,37.828,26.749,15.077,33,28.6,38.3
12.7,6.3,36213,19.918,36.117,30.168,13.798,35.1,26.6,39.9
11.7,6.1,61229,13.521,29.035,27.603,29.841,28.3,22,41.5
12.4,8.2,36136,20.493,33.928,28.69,16.889,29.3,24.7,38.3
10.4,7.2,56053,11.434,20.861,25.961,41.745,27.2,21.1,34.9
14.2,9.8,35779,18.498,42.378,25.589,13.535,29.8,30.5,39.8
14.4,9.6,40591,25.49,40.068,23.179,11.263,36.1,26.6,41.3
12.6,9.2,35750,17.84,28.351,34.043,19.766,35.5,28.3,34.1
12.5,7.4,59665,11.744,31.4,30.709,26.148,32,28.3,35.6
16.3,9,26934,20.22,40.612,25.097,14.071,32.3,31.6,40.3
10.8,5.8,35892,33.033,35.303,23.796,7.867,28.8,24.5,34.9
13.2,6.2,63776,13.798,36.901,31.022,18.279,36.4,22.4,35.9
12.7,8.6,37131,21.531,45.261,21.517,11.69,32,28.1,41.6
12,10.5,32495,22.174,40.197,25.915,11.714,34.4,33.4,36.7
13.8,6.5,34689,22.946,39.683,22.274,15.097,33.9,28.2,35.8
13.1,7.6,41487,16.98,38.795,26.503,17.722,26.8,25.2,49.6
13.6,6.1,83145,5.425,20.717,28.081,45.777,32.8,19.9,43.2
14.7,7.9,46634,20.267,31.036,28.897,19.801,32.7,28.7,38.1
11,5.3,101804,7.754,17.632,26.344,48.27,29.5,22.7,37.6
13,8.1,41543,23.416,40.024,23.925,12.635,30.9,33.2,40.3
9,7.1,62824,8.677,18.073,23.444,49.806,25.8,18.9,34.6
13.1,7.3,46332,19.651,35.885,26.624,17.839,30.5,29.4,44.4
12.3,8.1,41412,21.422,43.327,27.031,8.221,28.5,24.9,40.5
12.6,7.5,48691,12.39,27.605,31.841,28.164,28.8,25.6,40.5
11.3,7.3,45705,24.593,35.33,27.161,12.916,28.4,26.4,36.6
12.3,7.3,40234,22.902,37.206,27.121,12.77,33.9,33.3,38.5
15.9,8.2,47194,17.654,33.521,24.078,24.747,30.8,27.3,47.3
8.9,6.1,67197,12.467,23.33,29.274,34.93,27.9,20.9,34.3
11.1,7,46828,21.712,34.247,26.529,17.512,30.8,26.1,38.9
11.8,5.9,55308,22.701,27.699,27.126,22.474,28.9,22.9,35.2
16.5,11.7,30616,27.095,40.328,21.688,10.89,30.7,27.4,43
11.4,7.9,43196,21.706,36.693,27.838,13.764,29.6,24.7,39.7
12.8,6,70724,10.243,26.95,36.207,26.601,30.4,24.8,43.1
13.7,7.5,41247,19.087,37.722,29.539,13.652,30.7,31,43.3
12.6,7.9,41994,21.132,43.551,24.815,10.502,30.4,26.7,40.3
13.3,7.3,67150,10.552,29.933,32.036,27.479,32.8,23.2,36
11.3,6.8,61795,10.17,29.312,36.485,24.034,33,24.9,34.6
13.5,9.5,35866,15.283,43.47,30.097,11.149,31,28.9,38.9
11.3,5.9,55426,18.279,33.297,29.356,19.068,26.8,26,38
13.2,6.7,48473,22.822,41.223,25.592,10.363,29.9,27.7,39.3
12.8,8.2,35538,21.623,38.543,29.086,10.748,30.7,28.6,36.2
16.6,11.3,33680,25.536,41.364,22.685,10.416,34.7,27.9,38.1
12.8,10,30611,22.17,39.743,25.061,13.026,31,28,39.2
13.1,8.6,32201,25.745,37.601,27.964,8.69,33.7,28.3,40.5
13.3,6.3,54155,12.47,38.085,29.213,20.232,32.1,33.3,39.1
12.2,9.6,44575,16.007,38.689,28.147,17.158,30,26.8,38.7
12.2,8.1,35690,21.771,28.738,34.09,15.401,32.9,30,33.3
14,9.2,39037,17.129,44.011,23.623,15.237,38,32.4,38.3
11.6,6.2,62972,11.48,28.829,35.527,24.163,33,21.1,36.3
9.7,7.6,44154,10.344,31.485,39.272,18.9,35.9,26.2,27.7
15.2,8.3,41494,16.584,42.499,27.764,13.153,29.8,28.1,47
10.2,7.4,44542,12.731,34.616,37.415,15.238,33.8,24.4,31
12,7.3,41331,15.563,29.216,31.366,23.855,34.2,25.2,29.4
11.5,6.4,47287,15.756,29.013,28.245,26.985,31.3,26,35.9
16.7,10,39642,20.134,39.655,26.027,14.184,32.7,28.3,38.7
15.8,7.9,40788,17.604,35.121,33.508,13.767,32.3,27.4,47
15.3,11.8,31358,27.824,34.736,28.91,8.53,37.1,29.1,39.8
12.9,6.7,47151,17.239,39.717,27.573,15.471,34.7,31.5,39.6
14.9,7.7,38734,21.573,38.543,28.808,11.076,31.9,29,41.9
15.8,9.8,34508,22.938,38.885,28.031,10.146,34.8,28.7,42.3
13.1,6.4,42771,20.966,38.72,28.911,11.403,28.9,28.7,41.7
14.8,7.9,33490,23.447,40.832,23.727,11.994,33.5,28.6,37.3
14.2,6.7,55626,15.784,35.423,26.608,22.185,30.3,26.8,41.5
12.6,10.3,39074,17.953,38.573,27.921,15.553,34.7,30.1,38.1
12.6,6.6,55347,16.608,35.033,27.588,20.771,28.9,24.7,41.8
15.3,9.4,43203,31.215,35.791,22.129,10.865,33.5,30.9,37
13.4,8.4,40895,13.388,26.835,34.775,25.002,30.4,25.7,33.3
12,8.2,51167,15.613,31.394,33.179,19.814,31.8,29,35.4
9.4,5.1,88570,6.644,20.923,25.875,46.558,29,21.4,39.3
12.9,6.6,45319,20.415,36.983,25.986,16.616,30.4,27.2,41.6
10.6,6.2,65480,10.401,33.497,31.469,24.633,29,23.9,34.8
13.9,9.5,44330,14.925,30.908,34.017,20.151,33.8,28.4,33.9
14.5,6.7,57637,16.764,29.714,28.765,24.757,28,27.5,44.4
12.9,7.5,42908,17.992,40.38,28.726,12.901,30.8,32.1,38.8
11.7,7,56901,12.138,41.565,30.99,15.307,27.6,25.5,38.5
11.3,7.8,42470,24.289,37.225,25.502,12.984,35.1,28.3,37.2
14.1,7.8,36611,19.544,42.942,25.701,11.812,33,29.3,42.2
14.5,9.1,44785,15.94,38.219,27.549,18.293,30.9,28.5,44.6
18.2,8.3,30483,23.082,42.613,25.745,8.561,33.1,28.7,44.1
14.7,8.2,41913,14.444,33.041,26.18,26.336,29,28.3,47.3
15.8,9.7,31662,29.292,31.458,25.896,13.354,33.3,30.7,39.7
15.1,8.7,41128,16.424,30.806,31.726,21.044,34.1,27.2,33.3
13.9,7.9,56689,12.876,32.206,28.957,25.961,38.5,27.3,37.2
12.9,7.6,43396,19.094,33.927,32.115,14.864,30.3,25.6,40.9
13.8,10,36414,18.94,40.462,26.218,14.379,33.9,29.6,40.4
14.3,9.4,34986,17.95,39.262,27.872,14.917,30.8,29.5,43.9
12.8,9.5,43065,20.661,37.95,25.998,15.39,31.9,26.3,38
12.3,7.6,37920,18.921,37.293,26.162,17.623,30.7,27,40.9
12.9,7.5,24945,37.892,35.3,16.389,10.419,34.5,27,39.7
14.7,9.5,35764,22.241,31.31,26.499,19.949,32.5,29.9,34.3
16.1,7.9,36482,21.436,44.93,20.986,12.647,34.3,29.3,47.4
17.3,11,30133,32.777,45.442,13.013,8.768,32.1,28.8,45.8
11.5,7,35567,25.907,38.56,24.167,11.366,33.7,30.6,36.1
14.8,10.2,31637,23.864,35.797,29.018,11.321,29.6,26.6,41
11.9,9.8,32327,27.31,47.959,15.607,9.125,31.6,28.1,39.4
14.6,8,34018,26.697,29.537,31.691,12.076,32.7,29.2,40.4
13.5,8.8,40199,18.072,32.762,29.636,19.53,34.7,25.1,39.3
13.4,7.3,39982,18.78,34.467,29.232,17.52,32.5,28.9,34.8
12.7,9.9,36765,20.488,39.322,23.171,17.019,34.4,29.1,35.8
13.1,9.2,42439,10.649,31.886,32.331,25.133,28.3,29,52.1
12.6,10.6,32100,22.751,39.548,21.208,16.493,33,31.5,40.1
13.9,7.3,42955,16.351,35.513,29.379,18.757,29.9,28.6,36.2
13.9,7.9,31969,24.554,36.468,26.701,12.277,32.1,29.6,38.2
14.3,11.1,38507,30.795,35.928,21.635,11.642,33.4,29.3,45.5
16,6.6,47948,11.277,35.101,31.254,22.368,29.2,26.7,51.8
13.4,8.9,34039,20.897,36.343,29.407,13.353,34.2,28.3,41.8
13.3,7.2,40814,20.317,36.655,28.009,15.019,31.7,30,40.5
11.3,6.4,55267,13.301,36.588,31.529,18.583,32,24.5,37.8
13.3,7.9,34643,18.294,40.916,27.965,12.825,35.5,27.8,38.5
15.9,9.7,36789,26.283,44.507,17.12,12.089,32.4,28.3,44.4
13.2,8.1,35542,21.363,40.704,25.633,12.3,31.7,27.7,39.9
12.8,8.7,42017,17.864,40.508,28.304,13.324,34.2,26.8,37.3
15,8.6,36329,22.062,44.789,23.725,9.424,32.2,26.9,43.9
11.8,12.4,29532,23.423,53.383,18.257,4.938,32.5,30.1,37.6
12.7,6.2,44980,15.356,31.452,32.399,20.792,29.8,24.9,43.7
12.5,7.8,46796,31.089,28.539,26.821,13.551,33.6,27.3,34.6
11.9,9.1,33858,22.582,48.986,18.902,9.53,32,27.3,39.9
15.6,9.3,33735,22.051,41.952,22.211,13.786,32.3,30,44
15.1,8.7,47309,17.328,50.086,23.945,8.641,32.5,29.7,40.9
14.7,7.9,40122,22.56,40.672,26.555,10.213,35.6,31.6,40
8.4,5.5,54684,8.362,31.722,32.324,27.591,22.8,20,40.9
9.1,4.1,80012,8.946,26.162,31.541,33.351,22.2,20.2,37.2
8.5,4.8,63164,8.084,31.134,32.992,27.79,20.2,19.3,41.5
7.9,4.5,69699,8.176,31.456,34.67,25.698,22.9,19.6,40
7.3,4.2,61571,5.438,21.849,35.743,36.97,25.6,15.5,35.5
10.3,10,42310,10.289,37.725,29.304,22.683,28.4,23.7,51.3
8.9,4.6,48453,8.052,26.516,37.901,27.532,27.8,18.7,32.4
8.8,4.5,45875,6.424,39.026,35.024,19.526,27.3,20.4,39.1
8.2,8.1,45285,13.45,38.658,34.284,13.607,29.9,26.9,45.2
11.3,4.5,51586,14.102,30.545,37.302,18.051,31.7,26.7,32.5
6.4,4.5,66210,9.967,19.47,28.713,41.85,18.3,12.5,42.4
10.2,6.5,50123,6.232,27.692,39.108,26.968,26.4,21,50.6
8.4,7.1,48097,9.691,30.499,37.754,22.056,26.2,21,46.6
8.7,4.2,59293,8.89,26.863,36.41,27.837,29.7,19.7,32.3
10.9,6,42725,10.614,37.701,34.215,17.47,29.5,26.7,43.5
8.8,5.4,41706,9.639,35.104,40.361,14.896,27.9,24.7,43.4
9.5,5.4,49153,12.131,29.393,37.947,20.529,26.1,21.7,40.2
9.7,5.9,48461,15.88,32.282,33.484,18.354,34.4,24.1,32.5
10.4,4.2,55152,7.867,35.865,38.2,18.068,28.7,23.7,37.3
9.3,4.3,48983,18.132,28.362,34.943,18.563,34.6,22.9,31.7
8.3,4.7,42050,30.459,31.743,22.569,15.229,29.7,24.3,32.4
11.1,9.3,43626,12.141,36.795,34.236,16.828,29.2,24.4,50.1
9.9,6.9,45591,7.355,31.026,35.445,26.174,28.8,23.4,49.4
9.2,5.3,45003,13.745,27.762,41.931,16.563,30.2,23.3,30.7
8.2,3.4,54427,10.033,32.548,37.842,19.576,33.3,20.8,32.5
9.1,4.1,46465,12.645,33.884,32.599,20.872,27.7,18.9,34.9
10.5,5.9,42027,12.675,39.821,32.231,15.272,30.3,28.6,43.8
10.2,4,46948,23.672,33.358,28.692,14.278,32.5,24.4,35.9
9.1,7.5,42049,11.551,37.052,34.503,16.894,27.3,23.5,48.4
8.7,4,61156,12.56,29.49,37.168,20.782,33.3,22.1,30.8
7.7,4,48590,24.96,29.843,30.937,14.261,34.5,24.9,31.7
8.2,5.8,52019,7.61,28.002,40.405,23.983,26.2,20.3,39.4
6,4,43767,3.997,20.119,29.947,45.938,22.8,17.7,28.5
11,7.8,39934,8.473,33.356,37.123,21.048,26.5,22.5,50.6
11.1,4.6,41092,10.554,34.391,39.041,16.015,29.2,25.1,48.4
7.8,5.7,47754,21.56,35.788,30.827,11.825,29.5,20.6,33.7
6,3.2,41199,3.785,15.091,44.309,36.815,26.1,15.1,23
10.7,4.6,48903,22.042,29.099,33.978,14.881,35.9,23.7,35.3
10.8,4.1,50030,8.429,31.558,37.815,22.198,32.2,23.1,41.2
10.8,3.8,46596,6.412,37.795,39.445,16.348,30.3,21.3,39.7
9.5,3.7,35866,24.997,37.141,28.193,9.67,31.7,24,37.1
9.5,5.7,46595,12.883,33.943,37.326,15.847,33.7,26.4,38.2
9,4.9,45933,20.755,36.753,27.172,15.321,31.9,25.4,34.6
10.5,9.9,39285,14.34,36.97,35.867,12.822,29.7,25.3,47.1
6.9,4,60745,8.829,19.261,31.945,39.965,24.2,19.3,34.7
9.3,4.3,49415,13.144,29.272,39.439,18.145,30.7,23.7,34.6
8.8,7.5,58738,4.459,26.582,37.985,30.974,23.4,17.5,48.9
10.6,6.6,41647,16.16,33.969,34.442,15.429,31.2,26.4,44.3
11.2,5.3,51130,8.329,35.443,33.628,22.6,33.1,24.8,40.4
12,10.5,33344,24.979,34.193,31.843,8.985,28,25.2,39.8
9.5,6.5,53631,12.076,40.684,28.976,18.264,29.6,26.3,40.2
9.6,7.7,62081,13.894,35.421,29.174,21.51,32.4,24.4,38.1
8,4.1,51826,14.139,39.185,32.376,14.3,26.7,24.3,37.3
10.7,7.2,53410,9.274,39.031,32.889,18.805,27.2,24.7,43.2
11.6,8.3,50952,8.207,44.734,32.017,15.042,29.2,26.7,45.8
11.3,6.3,50330,9.297,41.488,32.856,16.359,27.3,24.8,47.2
10.3,6.9,47511,14.352,46.384,25.433,13.831,30,26.3,39.6
8.2,6,51032,5.346,22.154,28.574,43.927,25.7,21.2,29.2
10.6,7.5,49324,12.03,43.305,29.586,15.079,29.9,27.4,41.9
10.4,7.1,49937,10.219,38.98,34.327,16.474,32.5,26.7,43.3
10.3,7.9,43478,11.52,38.341,35.341,14.798,28.9,27.8,42.7
9.9,5.4,61013,10.581,31.626,36.635,21.158,29.9,23.9,40.1
9.2,6.7,42066,9.786,31.137,33.752,25.325,28.8,24.2,32.4
9.1,7.5,60025,14.189,23.682,25.658,36.471,26.8,21.1,35.7
10.1,6.4,46374,10.955,34.069,37.795,17.181,30.4,23.1,42.4
10.6,5.9,49733,11.18,38.596,35.454,14.77,29,24.2,41.2
8.4,6.5,59586,7.357,26.139,35.678,30.826,28.5,19.3,29.8
10.2,6.5,54926,8.265,37.158,34.173,20.404,29,22.7,42.4
9.2,5.8,55891,16.011,35.272,29.608,19.109,29.1,24.9,38.3
8.6,5.8,84999,7.563,18.732,26.394,47.312,24.2,18.5,38.7
9.6,7.1,47062,12.247,36.726,32.998,18.029,28.3,24.3,43.4
10.4,6.6,48884,11.036,36.498,40.452,12.014,29.2,24.5,43.4
9.9,5.5,51809,8.866,36.585,32.07,22.48,29.5,23.2,39.2
10,7.4,46290,17.507,40.347,28.579,13.567,26.7,24,40.2
10.3,6,51861,11.175,37.669,33.774,17.382,25.7,24.3,43.1
10.7,9.2,40246,12.288,33.273,39.166,15.272,29.5,30.4,41.7
10.3,8.5,49503,12.414,34.605,36.546,16.435,28.9,27.3,42.4
11.4,7,39634,13.821,40.178,34.487,11.513,28.6,24.7,45
11.6,6.7,44378,13.884,42.342,32.613,11.161,30.9,27.2,42.4
8.6,8.7,71969,7.057,36.38,34.789,21.773,31.9,24.1,36.8
11.3,5.8,47855,10.21,36.357,37.703,15.73,28.2,26,43
11.1,6.5,51721,7.464,38.528,34.409,19.599,26.6,26.4,45.8
11.6,8.6,39143,16.838,34.926,36.915,11.321,28.1,25.2,46.9
11.1,6.2,47792,11.107,45.246,30.378,13.27,28.5,28.4,49.1
11,6.6,55287,11.099,33.671,33.959,21.271,32.1,26.1,41.9
11.5,6.3,47589,11.284,41.058,33.039,14.618,33.4,27.2,43.7
8.7,6.3,34982,7.744,24.755,31.596,35.905,28.1,26.5,29.5
10.4,6.4,51120,9.857,37.47,34.409,18.265,29.1,24.5,43.1
11.4,7.4,45746,14.147,32.024,37.4,16.43,28.3,24.8,40.9
10.3,7.1,57243,8.818,36.67,36.132,18.38,30,25.5,42.1
11.4,6.1,54169,8.04,37.068,30.79,24.102,30.1,24.3,48.2
10.4,9.5,48359,16.626,30.919,35.787,16.668,28.3,24.9,42.8
7.7,6.8,73684,16.875,23.193,27.828,32.104,25.5,16.6,35.5
10.3,7.9,54624,12.658,34.03,34.354,18.958,32.5,24.8,37.3
8.9,6.5,91952,6.828,24.219,34.681,34.272,31.7,22.3,33.7
10.7,6.9,43277,12.002,36.683,33.245,18.07,25.4,25.8,41.5
7.8,6.4,83344,10.195,20.945,25.164,43.696,27.9,19.8,37.2
10.6,8.1,56543,11.557,36.583,34.896,16.963,27.6,26.6,41.6
10.2,7.7,44774,21.944,34.343,33.565,10.148,27.5,22.2,40.5
9.9,6.2,55563,11.724,36.328,34.236,17.711,31.2,27.6,41.8
9.2,6.3,54339,11.73,41.452,31.606,15.212,30.8,27,41
10.2,6.3,53052,12.611,34.588,34.426,18.375,28.1,22.9,39.6
9.3,6.8,44460,7.214,28.861,30.383,33.543,27.7,22.5,29.9
10.5,6.6,81570,7.388,26.864,32.502,33.247,29.3,22,38.9
7.1,5.4,64271,4.364,25.547,25.559,44.53,29,24,32.4
9.9,8.5,47786,10.384,34.747,32.062,22.806,26.1,27.5,40.5
9.9,7.4,52483,10.044,38.272,33.435,18.248,29.7,23.4,42.1
8.6,7,56297,7.441,31.722,35.173,25.664,33.5,27.2,39.2
9.7,7.6,45698,11.534,35.754,37.683,15.029,29.6,26.6,41.5
11.5,6.8,54807,8.165,40.409,35.293,16.134,31.3,25.9,45.8
11.3,8.5,46962,12.723,42.677,30.295,14.306,30.2,25.2,44.9
10.8,8,42833,15.028,33.972,37.669,13.331,27.5,26.2,43.3
10.1,5.6,62966,8.054,34.914,33.11,23.922,27.2,21.5,42.7
11.5,6.9,56661,8.106,41.457,32.909,17.528,32.3,23.8,44.3
10.2,5.3,83139,4.607,32.273,33.339,29.781,31.8,24.7,41.7
10.5,8.7,46997,13.97,40.398,31.762,13.87,29.1,29,41.6
9.7,5.9,48600,9.181,41.916,28.265,20.637,26.4,20.8,40.9
9.5,5.4,57447,15.895,34.903,32.145,17.057,25.6,23.4,41.1
9.4,7.4,58812,11.744,33.783,34.635,19.838,30.5,22,41.1
9.8,7.6,52380,9.743,27.622,32.838,29.798,29.5,24.3,36.8
10.3,8.4,48423,15.092,38.281,33.246,13.381,29.7,24.7,40.8
10.8,5.6,65797,4.76,34.589,30.788,29.864,28.3,23.3,43
11.5,5.7,41671,12.147,41.446,31.06,15.347,30.6,28.2,42.6
10.7,8,42917,12.761,32.301,41.196,13.742,28.8,24.4,48
11.8,10.3,35875,17.275,34.724,36.969,11.032,27.5,25,43.6
10.7,7.7,65902,8.405,39.613,37.584,14.398,28.6,22.3,45.2
9.7,6.6,50681,15.526,41.015,30.464,12.995,26.9,25.4,41.6
11.6,6.4,46497,12.724,33.336,33.354,20.586,30.2,24.3,42.8
10.6,7,50952,11.372,31.154,35.433,22.041,31,22.9,40.1
12.7,7.8,50598,9.457,28.44,35.958,26.145,34.7,25.6,37.5
12,8.1,40690,13.928,31.427,38.664,15.981,29.1,23.9,42
10.4,5.9,55090,7.767,27.838,30.076,34.32,26.6,23.5,39.7
10.2,6.6,49566,11.221,36.764,33.123,18.893,30.3,24.1,44.7
10.3,6.7,52386,7.697,50.192,30.016,12.095,29.9,27.5,43.3
10.4,6.7,51069,7.734,46.978,30.096,15.192,28.8,22.7,44.2
11.3,7.4,56414,12.297,37.344,33.636,16.722,28.8,26.3,45.4
12.7,7.3,45863,9.28,35.176,37.681,17.863,35.7,30.2,44.2
9.8,6.7,60590,7.198,32.879,34.912,25.011,32.4,25.9,40.4
11.3,8.7,45476,14.364,32.561,31.779,21.295,31.1,26,43.5
11.9,8.4,45247,12.772,40.645,32.623,13.96,34.2,28.1,39.9
11.3,5.9,50195,10.605,32.35,39.868,17.177,32.4,26.1,43.3
10.9,5.8,48346,12.807,34.51,30.746,21.937,29.7,26.7,39.2
10,4.7,58587,9.291,32.592,37.243,20.874,28.3,21.9,42.9
10,6.5,45583,12.793,35.068,38.162,13.977,29.8,27.1,42.8
10.6,5.8,44874,12.322,36.256,37.697,13.725,28.4,24.5,44.7
9.9,6.9,51567,11.29,36.154,35.288,17.268,28.6,26.1,42.4
9,7.6,81640,9.177,26.858,30.51,33.455,28.6,24.1,36.2
9.2,7.1,48112,9.77,30.54,37.614,22.075,27.3,23.6,40.7
10.9,8.2,50296,12.585,32.311,32.695,22.409,34.2,27.2,38.9
9.5,5.5,73055,6.035,32.753,30.77,30.442,29.5,23.7,40.4
13.8,4.6,51517,15.758,41.615,27.017,15.61,32.6,28.6,34
10.5,5.7,51329,10.798,29.12,32.712,27.37,28.7,23.9,35.6
11.5,4.4,59765,9.724,34.892,25.708,29.676,29.6,26.5,38
11.7,5.4,47218,10.34,45.079,27.521,17.061,31.3,30.8,40.3
14.7,7.4,42588,13.023,48.218,27.793,10.966,37.3,30.6,42.8
10.5,4.4,80634,6.837,25.384,23.265,44.515,28.8,20.8,38.7
12,6,56323,10.44,36.1,29.986,23.474,29.2,28.9,48
13.2,5.2,55708,12.044,40.785,29.745,17.426,28.2,33.1,41.3
10.3,5.7,46287,17.181,39.5,29.369,13.95,33.1,30.3,39.5
12.2,5.4,51837,12.106,34.095,33.601,20.199,34.4,29.3,38.4
12.2,6.7,50185,10.264,44.767,28.041,16.928,34.9,29.7,40.6
11.6,5.1,53862,13.905,45.28,25.925,14.89,32.9,30.4,38
11.6,7.6,46210,17.307,47.66,25.239,9.794,31.7,29.6,42.2
12.6,4.5,49237,25.283,36.321,24.391,14.005,36.4,31.4,35.2
